cache_misses,cache_load,cache_miss_ratio(%),dTLB_misses,dTLB_load,dTLB_miss_ratio(%),runtime(ms)
2653.000000,76186.000000,3.48,12.000000,1753.000000,0.68,0.042000
2777.000000,76411.000000,3.63,9.000000,1755.000000,0.51,0.042000
2770.000000,76429.000000,3.62,10.000000,1730.000000,0.58,0.042000
2623.000000,76086.000000,3.45,17.000000,1743.000000,0.98,0.076000
2723.000000,73857.000000,3.69,11.000000,1739.000000,0.63,0.068000
2698.000000,76379.000000,3.53,24.000000,1738.000000,1.38,0.080000
2672.000000,75940.000000,3.52,12.000000,1741.000000,0.69,0.017000
2701.000000,76750.000000,3.52,10.000000,1688.000000,0.59,0.068000
4782.000000,78908.000000,6.06,28.000000,1801.000000,1.55,0.078000
2657.000000,76050.000000,3.49,14.000000,1742.000000,0.80,0.017000
2723.000000,76488.000000,3.56,15.000000,1742.000000,0.86,0.042000
2717.000000,76413.000000,3.56,12.000000,1733.000000,0.69,0.075000
2579.000000,73243.000000,3.52,22.000000,1762.000000,1.25,0.066000
2620.000000,73024.000000,3.59,25.000000,1764.000000,1.42,0.086000
2622.000000,75691.000000,3.46,66.000000,1834.000000,3.60,0.092000
2736.000000,76210.000000,3.59,15.000000,1770.000000,0.85,0.088000
2709.000000,76022.000000,3.56,132.000000,1899.000000,6.95,0.071000
2710.000000,76764.000000,3.53,14.000000,1803.000000,0.78,0.071000
2718.000000,76152.000000,3.57,23.000000,1773.000000,1.30,0.080000
2685.000000,76680.000000,3.50,33.000000,1767.000000,1.87,0.086000
2623.000000,73713.000000,3.56,17.000000,1784.000000,0.95,0.065000
2662.000000,76452.000000,3.48,17.000000,1779.000000,0.96,0.018000
2714.000000,75743.000000,3.58,18.000000,1793.000000,1.00,0.092000
2730.000000,76717.000000,3.56,20.000000,1802.000000,1.11,0.055000
2661.000000,76422.000000,3.48,8.000000,1742.000000,0.46,0.071000
2728.000000,76227.000000,3.58,13.000000,1727.000000,0.75,0.075000
2759.000000,76456.000000,3.61,6.000000,1722.000000,0.35,0.061000
2736.000000,76318.000000,3.58,12.000000,1772.000000,0.68,0.039000
2642.000000,76175.000000,3.47,28.000000,1780.000000,1.57,0.049000
2637.000000,76674.000000,3.44,10.000000,1749.000000,0.57,0.059000
2778.000000,76142.000000,3.65,14.000000,1794.000000,0.78,0.075000
2685.000000,76168.000000,3.53,9.000000,1766.000000,0.51,0.017000
2669.000000,76274.000000,3.50,10.000000,1781.000000,0.56,0.050000
2636.000000,76042.000000,3.47,13.000000,1768.000000,0.74,0.051000
2670.000000,76482.000000,3.49,18.000000,1774.000000,1.01,0.050000
2688.000000,76301.000000,3.52,10.000000,1807.000000,0.55,0.017000
2708.000000,76463.000000,3.54,11.000000,1805.000000,0.61,0.019000
2547.000000,73614.000000,3.46,12.000000,1765.000000,0.68,0.050000
2696.000000,76488.000000,3.52,8.000000,1783.000000,0.45,0.051000
2681.000000,76202.000000,3.52,21.000000,1810.000000,1.16,0.085000
2515.000000,73318.000000,3.43,21.000000,1832.000000,1.15,0.086000
2672.000000,76084.000000,3.51,12.000000,1762.000000,0.68,0.082000
2718.000000,76282.000000,3.56,15.000000,1802.000000,0.83,0.093000
2662.000000,76175.000000,3.49,22.000000,1799.000000,1.22,0.090000
2591.000000,73654.000000,3.52,15.000000,1817.000000,0.83,0.017000
2698.000000,75517.000000,3.57,14.000000,1770.000000,0.79,0.057000
2611.000000,73259.000000,3.56,28.000000,1804.000000,1.55,0.018000
2716.000000,75863.000000,3.58,28.000000,1807.000000,1.55,0.068000
2637.000000,75551.000000,3.49,20.000000,1820.000000,1.10,0.019000
2771.000000,75640.000000,3.66,16.000000,1803.000000,0.89,0.109000
2623.000000,75677.000000,3.47,20.000000,1829.000000,1.09,0.019000
2755.000000,75873.000000,3.63,12.000000,1805.000000,0.66,0.018000
2800.000000,75877.000000,3.69,25.000000,1866.000000,1.34,0.018000
2829.000000,77354.000000,3.66,21.000000,1819.000000,1.15,0.020000
2574.000000,76204.000000,3.38,9.000000,1770.000000,0.51,0.051000
2695.000000,75622.000000,3.56,31.000000,1813.000000,1.71,0.019000
2669.000000,76250.000000,3.50,20.000000,1832.000000,1.09,0.071000
2593.000000,75511.000000,3.43,23.000000,1800.000000,1.28,0.074000
2653.000000,76507.000000,3.47,179.000000,1983.000000,9.03,0.065000
2679.000000,76220.000000,3.51,19.000000,1800.000000,1.06,0.076000
2725.000000,76750.000000,3.55,20.000000,1837.000000,1.09,0.076000
2710.000000,76390.000000,3.55,20.000000,1817.000000,1.10,0.068000
2582.000000,73607.000000,3.51,20.000000,1830.000000,1.09,0.067000
2683.000000,76131.000000,3.52,15.000000,1812.000000,0.83,0.072000
2658.000000,76233.000000,3.49,9.000000,1784.000000,0.50,0.038000
2786.000000,76383.000000,3.65,43.000000,1836.000000,2.34,0.087000
2698.000000,73621.000000,3.66,28.000000,1843.000000,1.52,0.078000
2671.000000,76114.000000,3.51,23.000000,1798.000000,1.28,0.044000
2592.000000,73624.000000,3.52,11.000000,1851.000000,0.59,0.044000
2599.000000,76057.000000,3.42,10.000000,1807.000000,0.55,0.036000
2691.000000,76447.000000,3.52,54.000000,1863.000000,2.90,0.055000
2700.000000,76073.000000,3.55,21.000000,1844.000000,1.14,0.085000
2725.000000,76291.000000,3.57,33.000000,1859.000000,1.78,0.086000
2626.000000,76198.000000,3.45,32.000000,1853.000000,1.73,0.018000
2595.000000,73700.000000,3.52,22.000000,1838.000000,1.20,0.068000
2782.000000,76358.000000,3.64,13.000000,1802.000000,0.72,0.061000
2724.000000,76892.000000,3.54,16.000000,1811.000000,0.88,0.071000
2669.000000,76157.000000,3.50,18.000000,1836.000000,0.98,0.042000
2604.000000,73506.000000,3.54,21.000000,1832.000000,1.15,0.090000
2570.000000,73215.000000,3.51,22.000000,1836.000000,1.20,0.088000
2591.000000,75944.000000,3.41,10.000000,1801.000000,0.56,0.066000
2679.000000,76482.000000,3.50,18.000000,1785.000000,1.01,0.068000
